100159718       1231125252121192532221142333     4434411     43433  98  9821944220015911122192494119922123123131321119 11122221911121123        44221249134131 3300159020024210539 00100099898   13112       085001346113316411       36031222 2
100160352       151112311211111251112123211233441     3333432     04  04  12 33220016013123212332121 21312123133111221 31222222121114324        41112931134132 2300160020051205112 00100090404   06112       001000392331026411       43421242 2
100161407       122111330212111153111112321242222     2222422     04  02  12 42220016111111211299111 11123419113112121 31121312212122322        2211192112412212300161020082205523 00100090402   15132       097000854331036431  00   39939292 3
100162808       131021510112211111221112321                                    220016295221222222222212323139123311112 3122232111312432           1121 11  2 61 300162020463154532 0010009    2  02232       001000934441256456  00   33321222 1
100163719       153111708112111151112123331244443     1244423     99  99  19144220016313123112333111 9132342111311211 131112211241123324        43221541144126 3300163020521234817 00100099999   05112       119003531440656453       23321222 1
100164602       121112827232112225222212323                                    22001641313312233322222232212122332122 21122232113319312           3925 91  2 6  300164020541234313 0010009       03132       013000627440316413       25232222 3
100165541       1621212642112112511122142333     4324421     43432  10  0139 4322001651112241399312229131119933331222 133122912111221222        44112241134132 2300165020834141034 001000910012  04232       003000608443826414       45031232 1
100166831       1421213661122111531199113213     2133221     41422  01  9912 21220016611123212122111 9212343319311299 131922291121294493        32113141114122 2300166020923144939 001000901992  17232       087002249440526414       18041232 2
100167985       1621111331921122451292221212     2224223     11422  06  0611 22220016711121413111111 11113413333112111 31122312211224222        42313511114122 2300167021083223738 00100090606   01112       103001619331936532       34321252 1
100168318       1411128422111111241111921912     4344221     43432  08  0812 43220016812111211111111 11113413113112121 21111911911223224        42113141134132 2300168021254223939 00100090808   04112       017000281331926512       37441242 3
100169210       142111217221111151111292121243142     3342422     01  02  42 43220016911131213222111 11123433333112921 31122212112114321        42313441124129 2300169021291224619 00100090102   21132       029000427334416512  97   3503125111
100170773       132112256222112262222213222214334     1144441     98  99  21214220017011122122344222121321129291221229 11222222143111193        34222142244141 1300170021482223825 00100099899   01232       031000678221416512       35232242 1
