id,question,n_options,mode,row,topic,polling_firm,date,keep,drop_reason,dk_shown,claim_cue,drop_category,correct,dk,incorrect,basis,confident_correct,confident_incorrect,total,opinion_wording,graded,format
19,"Do you happen to know what¡¦Barack Obama's religion is? Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or is he not religious?",7,telephone,94,Obama Religion,Latino Decisions,11/27/11-12/04-11,TRUE,,FALSE,FALSE,,0.10972568578553615,0.49875311720698257,0.3915211970074813,Roper topline,,,100.25,FALSE,FALSE,three or more
133,"As you may know, President Trump has said he believes between 3 million to 5 million votes may have been cast illegally. Do you believe 3 million to 5 million votes were cast illegally, or not?",2,online,95,Voter Fraud 2016,Morning Consult,01/26-28/17,TRUE,,FALSE,TRUE,,0.44,0.31,0.25,Corpus columns,,,100,TRUE,FALSE,binary
200,"Some people believe Barack Obama, despite his professed Christianity, is secretly a Muslim. Others say that is just a rumor and Obama really is a Christian as he says, and point out he's attended a Christian church for years. What do you believe--is Obama a Muslim or a Christian?",2,telephone,97,Obama Religion,Opinion Dynamics,07/22-23/08,TRUE,,FALSE,TRUE,,0.5757575757575758,0.2727272727272727,0.15151515151515152,Roper topline,,,99,TRUE,FALSE,binary
86,"From what you know, do you think it is true or not true that the health care (reform) legislation will create these so called 'death panels' (or government organizations that will and will not receive health services when they are critically ill)?",2,telephone,100,ACA Death Panel,Opinion Research Corporation,08/14-17/09,TRUE,,FALSE,TRUE,,0.5,0.2,0.3,Roper topline,,,100,TRUE,FALSE,binary
2,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",4,telephone,101,Obama Citizenship,Opinion Research Corporation,04/29/11-05/01/11,TRUE,,FALSE,FALSE,,0.8080808080808081,0.020202020202020204,0.1717171717171717,Roper topline,,,99,TRUE,FALSE,three or more
7,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",4,telephone,102,Obama Citizenship,Opinion Research Corporation,03/11-13/11,TRUE,,FALSE,FALSE,,0.72,0.03,0.25,Roper topline,,,100,TRUE,FALSE,three or more
10,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, or definitely born in another country?",4,telephone,103,Obama Citizenship,Opinion Research Corporation,07/16-21/10,TRUE,,FALSE,FALSE,,0.71,0.02,0.27,Roper topline,,,100,TRUE,FALSE,three or more
117,"Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 2,300, around 4,300, around 6,300, or around 8,300 troop deaths?",4,telephone,104,Iraq Mil. Deaths,Opinion Research Corporation,10/16-19/09,TRUE,,FALSE,FALSE,,0.42,0.06,0.52,Roper topline,,,100,TRUE,FALSE,three or more
119,"(Now I would like to ask you about some things that have been in the news recently. Not everyone will have heard of them.)...Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 2,300, around 3,300, around 4,300 or around 5,300 troop deaths?",4,telephone,105,Iraq Mil. Deaths,Opinion Research Corporation,03/26-29/09,TRUE,,FALSE,FALSE,,0.38,0.02,0.6,Roper topline,,,100,TRUE,FALSE,three or more
120,"Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 1,500, around 2,500, around 3,500, or around 4,500 troop deaths?",4,telephone,106,Iraq Mil. Deaths,Opinion Research Corporation,08/16-19/07,TRUE,,FALSE,FALSE,,0.54,0.02,0.44,Roper topline,,,100,TRUE,FALSE,three or more
